Label,Type,Value,Unit
oligochaeta,Perimeter,3.97,mm
chironomidae,Perimeter,2.95,mm
chironomidae,Perimeter,3.74,mm
chironomidae,Perimeter,3.72,mm
chironomidae,Perimeter,2.28,mm
chironomidae,Perimeter,4.17,mm
chironomidae,Perimeter,3.83,mm
chironomidae,Perimeter,2.33,mm
chironomidae,Perimeter,4.17,mm
chironomidae,Perimeter,3.23,mm
chironomidae,Perimeter,2.94,mm
chironomidae,Perimeter,3.36,mm
chironomidae,Perimeter,1.93,mm
chironomidae,Perimeter,4.07,mm
chironomidae,Perimeter,2.73,mm
chironomidae,Perimeter,4,mm
chironomidae,Perimeter,2.68,mm
chironomidae,Perimeter,2.31,mm
chironomidae,Perimeter,2.2,mm
chironomidae,Perimeter,2.36,mm
chironomidae,Perimeter,3.61,mm
chironomidae,Perimeter,3.46,mm
chironomidae,Perimeter,4.59,mm
