Label,Type,Value,Unit
oligochaeta,Perimeter,4.24,mm
chironomidae,Perimeter,5.53,mm
chironomidae,Perimeter,3.75,mm
chironomidae,Perimeter,3.18,mm
chironomidae,Perimeter,3.61,mm
chironomidae,Perimeter,3.59,mm
chironomidae,Perimeter,5.77,mm
chironomidae,Perimeter,4.69,mm
chironomidae,Perimeter,4.08,mm
chironomidae,Perimeter,3.72,mm
chironomidae,Perimeter,4.23,mm
chironomidae,Perimeter,3.91,mm
chironomidae,Perimeter,3.72,mm
chironomidae,Perimeter,3.93,mm
chironomidae,Perimeter,5.23,mm
chironomidae,Perimeter,3.14,mm
chironomidae,Perimeter,4.09,mm
chironomidae,Perimeter,3.25,mm
chironomidae,Perimeter,4.66,mm
chironomidae,Perimeter,4.93,mm
chironomidae,Perimeter,6.72,mm
