Label,Type,Value,Unit
chironomidae,Distance,3.71,mm
chironomidae,Perimeter,3.62,mm
chironomidae,Perimeter,1.38,mm
chironomidae,Perimeter,2.26,mm
chironomidae,Perimeter,3.1,mm
chironomidae,Perimeter,2.66,mm
chironomidae,Perimeter,4.1,mm
chironomidae,Perimeter,1.96,mm
chironomidae,Perimeter,3.08,mm
chironomidae,Perimeter,3.07,mm
chironomidae,Perimeter,2.64,mm
chironomidae,Perimeter,2.71,mm
chironomidae,Perimeter,4.16,mm
chironomidae,Perimeter,3.62,mm
chironomidae,Perimeter,2.8,mm
chironomidae,Perimeter,6.11,mm
chironomidae,Perimeter,5.92,mm
chironomidae,Perimeter,4.05,mm
chironomidae,Perimeter,4.06,mm
chironomidae,Perimeter,7.81,mm
chironomidae,Perimeter,7.31,mm
