Label,Type,Value,Unit
chironomidae,Perimeter,2.21,mm
chironomidae,Perimeter,2.4,mm
chironomidae,Perimeter,2.39,mm
chironomidae,Perimeter,3.4,mm
chironomidae,Perimeter,2.43,mm
chironomidae,Perimeter,2.94,mm
chironomidae,Perimeter,3.56,mm
chironomidae,Perimeter,2.73,mm
chironomidae,Perimeter,3.04,mm
chironomidae,Perimeter,4.19,mm
chironomidae,Perimeter,3.62,mm
chironomidae,Perimeter,3.37,mm
chironomidae,Perimeter,3.18,mm
chironomidae,Perimeter,2.85,mm
chironomidae,Perimeter,2.87,mm
chironomidae,Perimeter,3.51,mm
chironomidae,Perimeter,3.31,mm
chironomidae,Perimeter,2.85,mm
chironomidae,Perimeter,3.53,mm
chironomidae,Perimeter,5.19,mm
chironomidae,Perimeter,2.46,mm
chironomidae,Perimeter,2.4,mm
chironomidae,Perimeter,4.63,mm
chironomidae,Perimeter,2.6,mm
chironomidae,Perimeter,3.63,mm
chironomidae,Perimeter,3.5,mm
chironomidae,Perimeter,2.61,mm
chironomidae,Perimeter,3.67,mm
chironomidae,Perimeter,3.76,mm
chironomidae,Perimeter,3.48,mm
