Label,Type,Value,Unit
chironomidae,Perimeter,3.26,mm
chironomidae,Perimeter,3.55,mm
chironomidae,Perimeter,2.16,mm
chironomidae,Perimeter,2.27,mm
chironomidae,Perimeter,3.72,mm
chironomidae,Perimeter,2.66,mm
chironomidae,Perimeter,2.62,mm
chironomidae,Perimeter,1.98,mm
chironomidae,Perimeter,2.14,mm
chironomidae,Perimeter,3.78,mm
chironomidae,Perimeter,3.49,mm
chironomidae,Perimeter,1.63,mm
chironomidae,Perimeter,4.23,mm
chironomidae,Perimeter,2.92,mm
chironomidae,Perimeter,2.09,mm
chironomidae,Perimeter,4.52,mm
chironomidae,Perimeter,1.97,mm
chironomidae,Perimeter,2.16,mm
chironomidae,Perimeter,2.22,mm
chironomidae,Perimeter,2.83,mm
chironomidae,Perimeter,2.66,mm
chironomidae,Perimeter,2.29,mm
chironomidae,Perimeter,4.03,mm
chironomidae,Perimeter,2.67,mm
chironomidae,Perimeter,2.48,mm
chironomidae,Perimeter,1.61,mm
chironomidae,Perimeter,2.38,mm
chironomidae,Perimeter,2.46,mm
chironomidae,Perimeter,3.33,mm
