Label,Type,Value,Unit
chironomidae,Perimeter,1.99,mm
chironomidae,Perimeter,4.35,mm
chironomidae,Perimeter,3.33,mm
chironomidae,Perimeter,4.69,mm
chironomidae,Perimeter,2.45,mm
chironomidae,Perimeter,4.35,mm
chironomidae,Perimeter,4.72,mm
chironomidae,Perimeter,3.77,mm
chironomidae,Perimeter,4.56,mm
chironomidae,Perimeter,4.48,mm
chironomidae,Perimeter,5.46,mm
chironomidae,Perimeter,5.5,mm
chironomidae,Perimeter,4.73,mm
chironomidae,Perimeter,4.69,mm
chironomidae,Perimeter,5.74,mm
chironomidae,Perimeter,5.97,mm
