Label,Type,Value,Unit
Simuliidae,Perimeter,1.91,mm
Chironomidae,Perimeter,2.13,mm
Chironomidae,Perimeter,1.68,mm
Chironomidae,Perimeter,2.36,mm
Chironomidae,Perimeter,1.46,mm
Chironomidae,Perimeter,1.52,mm
Chironomidae,Perimeter,1.13,mm
Chironomidae,Perimeter,1.26,mm
Chironomidae,Perimeter,1.48,mm
Chironomidae,Distance,2.96,mm
Chironomidae,Perimeter,1.26,mm
Chironomidae,Perimeter,1.82,mm
Chironomidae,Perimeter,2.19,mm
Chironomidae,Perimeter,2.24,mm
Chironomidae,Perimeter,2.15,mm
Chironomidae,Perimeter,1.33,mm
Chironomidae,Perimeter,1.18,mm
Chironomidae,Perimeter,1.93,mm
Chironomidae,Perimeter,1.27,mm
Chironomidae,Perimeter,2.94,mm
Chironomidae,Perimeter,2.12,mm
Chironomidae,Perimeter,2.31,mm
Chironomidae,Perimeter,2.12,mm
Chironomidae,Perimeter,2.81,mm
Chironomidae,Perimeter,1.72,mm
Chironomidae,Perimeter,1.55,mm
Chironomidae,Perimeter,2.53,mm
Chironomidae,Perimeter,1.62,mm
Chironomidae,Perimeter,2.04,mm
Chironomidae,Perimeter,2.03,mm
Chironomidae,Perimeter,1.7,mm
Chironomidae,Perimeter,1.63,mm
Chironomidae,Perimeter,1.93,mm
Chironomidae,Perimeter,1.31,mm
Chironomidae,Perimeter,2.24,mm
Chironomidae,Perimeter,1.69,mm
Chironomidae,Perimeter,1.63,mm
Chironomidae,Perimeter,1.76,mm
Chironomidae,Perimeter,1.47,mm
Chironomidae,Perimeter,2.63,mm
