Label,Type,Value,Unit
chironomidae,Perimeter,5.21,mm
chironomidae,Perimeter,4.05,mm
chironomidae,Perimeter,2.25,mm
chironomidae,Perimeter,3.39,mm
chironomidae,Perimeter,3.83,mm
chironomidae,Perimeter,2.55,mm
chironomidae,Perimeter,5.73,mm
chironomidae,Perimeter,3.8,mm
chironomidae,Perimeter,5.42,mm
chironomidae,Perimeter,5.49,mm
chironomidae,Perimeter,6.22,mm
chironomidae,Perimeter,2.2,mm
chironomidae,Perimeter,2.93,mm
chironomidae,Perimeter,7.1,mm
chironomidae,Perimeter,4.02,mm
chironomidae,Perimeter,4.05,mm
chironomidae,Perimeter,9.54,mm
